"txt_cleaned","incivility","DIC","doc"
"而家阿豬阿狗以為讀完個垃圾學位就係大學生。。。抗議啲大學開埋啲濕9課程養埋啲廢柴大學生。強烈取消教育大學和社工呢啲濕九學位。",1,1,"而家 阿豬阿狗 以為 讀完 個 垃圾 學位 就係 大學生 抗議 啲 大學 開埋 啲 濕9 課程 養埋 啲 廢柴 大學生 強烈 取消 教育大學 和 社工 呢啲 濕九 學位"
"你咁撚好搵做咩on9想你班要食遊客水既死好撚耐有民主既一定要係每個關口收出入境稅，每次五百，乜撚野水貨客黑工，立即無哂",1,1,"你 咁撚 好 搵 做咩 想 你班 要食 遊客 水 既 死 好撚耐 有民主 既 一定 要 係 每個 關口 收出 入境稅 每次 五百 乜撚野 水貨客 黑工 立即 無哂"
"成班廢佬喺度修路",2,1,"成班 廢佬 喺度 修路"
"含雜種條龍",3,1,"含 雜種 條龍"
"成班連登仔，睇你地啲留言同有險可守有咩分別",0,0,"成班 連登 仔 睇你 地 啲 留言 同有險 可守 有咩 分別"
"sec. 7.  the unrestricted immigrant and nonimmigrant entry into the united states of aliens determined to meet one or more of the criteria in section 4(a) of this order, as well as immediate family members of such aliens, or aliens determined by the secretary of state to be employed by, or acting as an agent of, such aliens, would be detrimental to the interest of the united states, and (d)  the term &ldquo;immediate family member&rdquo; means spouses and children of any age.林鄭係咪有個仔係美國",0,0,"林鄭 係咪 有 個仔 係 美國"
"佛教強國 腐女尼姑廉價外勞 賣身求榮",0,0,"佛教 強國 腐女 尼姑 廉價 外勞 賣身 求榮"
"基本法第七十五條<U+00A0>「香港特別行政區立法會舉行會議的法定人數為不少於全體議員的二分之一。<U+00A0>立法會議事規則由立法會自行制定，但不得與本法相抵觸。」拎住呢條嚟同議事規則18(2)玩鬥大，sure win la.梁游已完要法律輸法律，要民意輸民意，死剩把口靠惡恐嚇衝擊議會，聽日有1個保安受傷害，唯你地是問!",2,0,"基本法 第七 十五條 香港特別行政區 立法會 舉行 會議 的 法定 人數 為 不少於 全體 議員 的 二分之一 立法會 議事 規則 由 立法會 自行 制定 但 不得 與 本法 相 抵觸 拎住 呢條 嚟 同 議事 規則 玩鬥大 梁游 已完 要 法律 輸 法律 要 民意 輸 民意 死剩 把口 靠惡 恐嚇 衝擊 議會 聽日有 個 保安 受 傷害 唯 你地 是問"
"推 五大訴求 缺一不可 自衛反擊 香港人 反抗 撤回已不是重點 解散警隊 追究刑責 勿忘721 85 811 831警黑勾結 無差別恐襲 10月1港殤",0,0,"推 五大訴求 缺一不可 自衛 反擊 香港人 反抗 撤回 已不是 重點 解散 警隊 追究 刑責 勿忘 警黑 勾結 無 差別 恐襲 月 港殤"
"呢d仆街搵人報狗話有暴徒捉撚左佢啦，3分鐘內即到",3,1,"呢 仆街 搵人 報 狗話 有 暴徒 捉 撚 左 佢 啦 分鐘 內即 到"
"請平安我無野講 我唔解鎖 我搵律師 唔好凶我 我投訴你 五大訴求，缺一不可 撤回修訂，不撤不散 撤回暴動，釋放義士 警黑勾結，獨立調查 落實承諾，實行普選 光復香港，時代革命 616 721 811 831 10.1 11.11 香港人報仇",0,0,"請 平安 我 無野 講 我 唔 解鎖 我 搵 律師 唔好 凶 我 我 投訴 你 五大訴求 缺一不可 撤回 修訂 不 撤不散 撤回 暴動 釋放 義士 警黑 勾結 獨立 調查 落實 承諾 實行 普選 光復香港 時代革命 香港人 報仇"
"黑警嫂喊 抵撚死",3,1,"黑警 嫂喊 抵 撚 死"
"無一定既證據, icac 會拘捕你們三人 ?",0,0,"無 一定 既 證據 會 拘捕 你們 三人"
"屌",1,1,"屌"
"泛民推卸責任，暴徒一開始就參與佔中，衝擊挑釁警方就是他們負責，公民黨員都有份喎",2,1,"泛民 推卸 責任 暴徒 一開始 就 參與 佔中 衝擊 挑釁 警方 就是 他們 負責 公民 黨員 都 有份 喎"
"今日都遲啦，林病係 瑞士返嚟嗰日，記招唔係宣布封關，初二就應該罷工喇",2,1,"今日 都 遲 啦 林病 係 瑞士 返嚟 嗰日 記招 唔係 宣布 封關 初二 就 應該 罷工 喇"
"朱成哥主持嘅歡樂今宵又同大家見面喇！",0,0,"朱 成哥 主持 嘅 歡樂今宵 又 同 大家 見面 喇"
"其實送水好警個個可以表揚佢 體現差別",0,0,"其實 送水 好警 個個 可以 表揚 佢 體現 差別"
"小黃人思想，正常人唔會明！:",2,1,"小黃人 思想 正常人 唔會 明"
"咁講法你去做前線啦",0,0,"咁講法 你 去做 前線 啦"
"某一天，學校的早會上，林老屍在向全校同學解說，：”我們要奉公守法，遵守法紀，如果犯左法，就會<U+2027><U+2027><U+2027><U+2027><U+2027><U+2027>”此時，數名警員走到台上，用孖葉塔住林老屍雙手，一名警員續說道：”如果犯左法，就會好似林老屍咁，受到法律制裁”林老屍眼中泛淚，被警員帶走時，仍高叫獲the忽故事純屬虛構，如有類同，實屬巧合",2,1,"某 一天 學校 的 早會 上 林老屍 在 向 全校同學 解說 我們 要 奉公守法 遵守 法紀 如果 犯左法 就會 此時 數名 警員 走到 台上 用 孖 葉塔住 林老屍 雙手 一名 警員 續說 道 如果 犯左法 就會 好似 林老屍 咁 受到 法律制裁 林老屍 眼中 泛淚 被 警員 帶走 時 仍 高叫 獲 忽 故事 純屬 虛構 如有 類同 實屬 巧合"
"兄弟做野....eric老師的blog快些去佢blog做下fan啦!",0,0,"兄弟 做野 老師 的 快些去 佢 做下 啦"
"https://lih.kg/1695657關於p牌：作爲一個p牌仔，我想講p牌制度真係令人唏噓。6、7月份嗰陣百家爭鳴，人人暢所欲言，激發大量創意火花。好多人特登申請連登account，一齊開po討論出謀獻策，但自從p牌制度出現，p牌仔唔單止唔可以正負評/推文，每日又只可以出一個po，好多時有新嘅行動計劃/整合討論都推廣唔到出去，p牌亦都令好多人自動無視/甚至歧視，以人廢言。係，p牌制度係可以限制五毛水軍大量出po洗版，但係好多舊用戶本身都經常出重複嘅po/無意義嘅廢文（當然大家都有言論自由），年資耐亦唔代表唔可以係五毛，因爲用戶嘅加入時間而設立階級制度其實好唔公平，亦都失去左匿名討論區人人平等嘅優點，所以點解經常出現以「我係和理/勇武/前綫...xxx，我有嘢想講」嘅po，企圖以現實身份增加話語權嘅現象。本身敏感時期，90日暫時p牌都尚可接受，但係宜家無限期p牌，無限期嘅不平等現象真係大大降低新用戶嘅討論意欲。早兩日因爲開唔到po，p牌仔唯有周圍留言洗版，造成好多用戶不滿，我想喺到向大家道歉。但係亦都因爲咁我俾連仔禁言左兩日，失去左言論嘅自由，呢種做法又係咪非常公道呢？假如我呢兩日有重要資訊/特發情況需要出po，因爲制度問題而被剝削發言權，造成個人/群體任何形式嘅損失，又係咪值得呢？----------------------------------------------------------------------------------------------------------------關於遊行集會：1. 如果想繼續遊行，唔好因爲警暴、同向國際求援而忽視其他焦點，遊行主題可以包括埋反紅媒遊行抗議cctvb大公報 文匯報、反選管會/選舉事務處反dq、反監警會、醫管局、doj黑箱作業，每次一個主題 https://lih.kg/12917612. 和理集會，裝修師傅可以去其他地區快閃 如非對方挑釁威脅在場和理安全，唔好走去set火墻rb 香港人其實明唔明白係可以聲東擊西? https://lih.kg/ermats其實不反對通知書唔係真係好似大家講嘅咁一文不值，大部分一家大細嘅和理真係完全合法先會出嚟。但係宜家大家覺得有冇都會tg放題，所以一嚟就開波裝修放火，搞到直接取消哂不反對通知書，未出嘅和理見到危險都會猶豫。咁變左大家未到現場就可以俾黑警用非法集結嘅名義大搜捕，相反我地失去左出到現場嘅正當性。同埋裝修放火衝突畫面，轉移集會焦點，搞到完全冇人care個參與人數。咁如果重現唔到百萬人集結，俾壓力參議院，和理出嚟仲有咩意義？為左幫手足打氣，而去犧牲幾百位手足？咁不如全部人喺條街唱歌算i.e.尖沙咀3. 唔好為出而出，出離之前唔該諗清楚自己嘅目標同定位-&gt; https://lih.kg/1524691唔該唔好亂咁吹風向，突然吹鷄開花/面具集會，諗清楚每個行動到底有咩意義，值唔值得因爲純粹表達不滿/圍爐打氣而犧牲幾個手足被捕。如果重點係人數， 目標就唔係裝修亦都唔係打狗發泄。無目標/英雄主義/純為發泄不如唔好出112維園清場起因其實係因爲有條on9無啦啦走去撚狗，之後有不反對通知書嘅集會未開始就有人就喺灣仔銅鑼灣裝修放火，搞到tg放題同衝突，咁自然之後集會縮短批准時間都係預料之内，行動之前唔該大家諗清楚有咩後果，到底對目標有冇幫助，而唔係純粹發泄。如非必要避免一切戰鬥，特別係駡戰：藍絲廢老9up請無視、亦都唔好走去撚狗如果對方主動出擊、威脅在場和理安全，迫於無奈只能獅鳥記住開遮！分team擋camera！向鏡頭解釋原因，獅鳥者記住一路嗌對方衰咩4. 如果情況有變i.e. 黑警主動攻擊 tg放題 和理請儘快自行散去，記住唔好打陣地戰）、唔好圍狗屋，人多唔代表安全，人多唔代表你地就可以保護勇武，人多唔代表對方唔敢拉人，人多唔代表你地會一齊衝。5. be water 點完人頭、目標達成就各自散去，唔好留戀戰場、牽挂其他手足，hit and run6. 新手入門指南：《香城online新手村告示板》https://lih.kg/1614285----------------------------------------------------------------------------------------------------------------未來運動嘅方向建議1. 其實今時今日，遊行集會嘅作用已經不大，亦都唔太有機會超過以往參與人數。目前運動已經成功推上國際層面，下一步係等待中美雙方互相談判利益，習近平需要貿易協定為國内外形勢交困（國内經濟下行、黨内反動勢力、香港問題、中美貿易摩擦同關係惡化）交功課，trump都需要deal為2020選舉增加政績。中美幾時傾呢份deal，包括香港嘅利益分配，唔會因爲遊行集會人數而有重大改變（起碼等到2020，除非突然有&gt;500萬人遊行啦，不過目前環境唔太可能）其他民主國家都唔會想得自己一個得失中國市場，所以只會睇美國頭、仿效美國，喺美國通過《香港民主及人權法案》之前，唔會真係有相似法案通過。當然hk be water act另計，不過冇咩太大作用，香港人唔會因爲咁有真雙普選/實現五大訴求。香港作爲中西方嘅estuary（西方世界進入中國市場、中方對外貿易/輸入外資/技術嘅緩衝帶），根本只係中美兩大國博弈中被動嘅籌碼，並冇任何主導權，美國幾時通過民主及人權法案/中國幾時派解放軍，從來都唔係香港人決定。當初二百萬人遊行+舉美國旗唱美國歌只係俾美國一張入場券參與呢場博弈，令香港不至於單方面被中國吞併，維持原本嘅相對中立態，暫時繼續擔當中西世界橋樑，即係吊命。再遊行/集會/舉美國旗唱美國國歌對大局唔會再有咩大影響，反而只係預約被捕，白白犧牲出去行嘅手足。圍爐取暖/打氣唔該唱吓歌/9行吓就算。2. 香港人應該專注嘅係經濟戰，勇武繼續快閃裝修，和理繼續罷買藍店、懲罰黃店、中資銀行撤資、和你shop、一蚊ddos交稅...集中籌辦宣傳大罷工（每兩周一次-&gt;每周一次-&gt;...) 令罷工成爲一種習慣3. 上面講到國際援助短期内唔會有太大影響，所以不斷tweet俾啲senator其實唔會點影響佢啲決定議程嘅優先次序，始終所有人都係已自己利益行頭。一係你就呼籲國際社會#boycott china罷買，但真心有幾多個外國人會走去個tag到睇哂咁多條tweet到睇啲對自己冇太大影響嘅野？倒不如集中幾個多follower嘅account做資訊發佈，其他人去多啲大人物/新聞機構嘅tweet下面多啲comment，而唔係宜家嘅圍爐轉tweet互like取暖。我地係咪只可以守株待兔等國際援助呢？放下成見，認真考慮國内戰綫，輸出革命 https://lih.kg/1602048品蔥網民建議：「讓&rdquo;飯圈女孩&rdquo;幫忙攬炒」https://lih.kg/16418514. 全面升級：真三罷、暗戰、滲透、狗仔隊 https://lih.kg/1572762【突發】五毛藍屍telegram group 大整合 https://lih.kg/16953405. 每日中環和你翻工與放飯（幫人罷工？）6. 讀好啲書，唔好人地藍絲問你口窒窒，淨係識得講良知，盲反盲撐 https://lih.kg/16954967. 最後，屌你老母 不分不割不篤唔撚代表不容置疑不容批評，唔好每次人地提出問題你就走去話人分化撚五毛，block得，拉，見到好撚煩，真係會令人心灰唔想再參與討論，自己睇吓點解愈嚟愈少有用po。我想你哋反思吓，你哋口中嘅不分不割不篤，點解從來只係包括泛民，而所謂熱青城/陳雲『癡綫佬』，因爲個人恩怨問題而全盤否定對方嘅意見？口講不分不割不篤，但實際上就同佢哋割席？你哋話陳雲熱狗最叻分化，但其實你哋知唔知道你哋咁嘅行爲同分化根本冇分別。不分不割不篤唔係你做錯事嘅藉口，唔代表所有人都要認同你嘅一切行爲，有錯唔改聽完就算，掉頭屌人分化，用兄弟爬山論嚟合理化自己嘅所有所作所爲真係屌你老母仆街on9仔嚟。",3,1,"關於 牌 作爲 一個 牌仔 我 想講 牌 制度 真係 令人 唏噓 月份 嗰陣 百家爭鳴 人人 暢所欲言 激發 大量 創意 火花 好多人 特登 申請 連登 一齊 開 討論 出謀 獻策 但 自從 牌 制度 出現 牌仔 唔單止 唔可以 正 負評 推文 每日 又 只可 以出 一個 好多時 有新 嘅 行動 計劃 整合 討論 都 推廣 唔到 出去 牌 亦都 令 好多人 自動 無視 甚至 歧視 以人 廢言 係 牌 制度 係 可以 限制 五毛 水軍 大量 出 洗版 但係 好多 舊 用戶 本身 都 經常 出 重複 嘅 無意義 嘅 廢 文 當然 大家 都有 言論自由 年資 耐 亦 唔代表 唔可以 係 五毛 因爲 用戶 嘅 加入 時間 而 設立 階級 制度 其實 好 唔公平 亦都 失去 左 匿名 討論區 人人平等 嘅 優點 所以 點解 經常 出現 以 我 係 和 理 勇武 前綫 我 有嘢 想講 嘅 企圖 以 現實 身份 增加 話語權 嘅 現象 本身 敏感 時期 日 暫時 牌 都 尚可 接受 但係 宜家 無限期 牌 無限期 嘅 不平等 現象 真係 大大 降低 新 用戶 嘅 討論 意欲 早 兩日 因爲 開唔到 牌仔 唯有 周圍 留言 洗版 造成 好多 用戶 不滿 我 想喺 到 向 大家 道歉 但係 亦都 因爲 咁 我 俾 連仔 禁言 左 兩日 失去 左 言論 嘅 自由 呢種 做法 又 係咪 非常 公道 呢 假如 我 呢 兩日 有 重要 資訊 特發 情況 需要 出 因爲 制度 問題 而 被剝削 發言權 造成 個人 群體 任何 形式 嘅 損失 又 係咪 值得 呢 關於 遊行 集會 如果 想繼續 遊行 唔好 因爲 警暴 同向 國際 求援 而 忽視 其他 焦點 遊行 主題 可以 包括埋 反 紅媒 遊行 抗議 大公報 文匯報 反 選管會 選舉事務處 反 反 監警 會 醫管局 黑箱作業 每次 一個 主題 和理 集會 裝修 師傅 可以 去 其他 地區 快閃 如非 對方 挑釁 威脅 在場 和理 安全 唔好 走去 火 墻 香港人 其實 明 唔明白 係 可以 聲東擊西 其實 不反對 通知書 唔係 真係 好似 大家 講嘅 咁 一文不值 大部分 一家大細 嘅 和 理 真係 完全 合法 先會 出嚟 但係 宜家 大家 覺得 有冇 都會 放題 所以 一嚟 就 開波 裝修 放火 搞到 直接 取消 哂 不反對 通知書 未出 嘅 和 理 見到 危險 都會 猶豫 咁 變左 大家 未到 現場 就 可以 俾 黑警 用 非法 集結 嘅 名義 大 搜捕 相反 我地 失去 左 出到 現場 嘅 正當 性 同埋 裝修 放火 衝突 畫面 轉移 集會 焦點 搞到 完全 冇人 個 參與 人數 咁 如果 重現 唔到 百萬人 集結 俾 壓力 參議院 和理 出嚟 仲 有咩 意義 為左 幫手 足 打氣 而去 犧牲 幾百 位 手足 咁 不如 全部人 喺 條街 唱歌 算 尖沙咀 唔 好為 出 而出 出離 之前 唔該 諗清楚 自己 嘅 目標 同 定位 唔該 唔好 亂咁 吹風 向 突然 吹鷄 開花 面具 集會 諗清楚 每個 行動 到底 有咩 意義 值唔值 得 因爲 純粹 表達 不滿 圍爐 打氣 而 犧牲 幾個 手足 被捕 如果 重 點係 人數 目標 就 唔係 裝修 亦都 唔係 打狗 發泄 無 目標 英雄 主義 純為 發泄 不如 唔好 出 維園 清場 起因 其實 係 因爲 有條 無啦啦 走去 撚狗 之後 有 不反對 通知書 嘅 集會 未 開始 就有 人 就喺 灣仔 銅鑼灣 裝修 放火 搞到 放題 同 衝突 咁 自然 之後 集會 縮短 批准 時間 都係 預料 之内 行動 之前 唔該 大家 諗清楚 有咩 後果 到底 對 目標 有冇 幫助 而 唔係 純粹 發泄 如 非必要 避免 一切 戰鬥 特別 係 駡戰 藍絲 廢老 請 無視 亦都 唔好 走去 撚狗 如果 對方 主動 出擊 威脅 在場 和理 安全 迫於無奈 只能 獅鳥 記住 開遮 分 擋 向鏡頭 解釋 原因 獅鳥者 記住 一路嗌 對方 衰 咩 如果 情況 有變 黑警 主動 攻擊 放題 和 理請 儘快 自行 散去 記住 唔好打 陣地 戰 唔好 圍 狗屋 人多 唔代表 安全 人多 唔代表 你地 就 可以 保護 勇武 人多 唔代表 對方 唔敢 拉人 人多 唔代表 你地 會 一齊 衝 點 完人 頭 目標 達成 就 各自 散去 唔好 留戀 戰場 牽 挂 其他 手足 新手 入門 指南 香 城 新手村 告示板 未來 運動 嘅 方向 建議 其實 今時今日 遊行 集會 嘅 作用 已經 不大 亦都 唔 太 有機會 超過 以往 參與 人數 目前 運動 已經 成功 推上 國際 層面 下一步 係 等待 中美 雙方 互相 談判 利益 習近平 需要 貿易 協定 為國 内外 形勢 交困 國内 經濟 下行 黨内 反動 勢力 香港 問題 中美 貿易 摩擦 同 關係 惡化 交功課 都 需要 為 選舉 增加 政績 中美 幾時 傾 呢份 包括 香港嘅 利益 分配 唔會 因爲 遊行 集會 人數 而 有 重大 改變 起碼 等到 除非 突然 有 萬人 遊行 啦 不過 目前 環境 唔 太 可能 其他 民主 國家 都 唔會 想得 自己 一個 得失 中國 市場 所以 只會 睇 美國 頭 仿效 美國 喺 美國 通過 香港 民主 及 人權 法案 之前 唔會 真係 有 相似 法案 通過 當然 另計 不過 冇咩 太大 作用 香港人 唔會 因爲 咁 有 真 雙普選 實現 五大訴求 香港 作爲 中 西方 嘅 西方 世界 進入 中國 市場 中方 對外 貿易 輸入 外資 技術 嘅 緩衝 帶 根本 只係 中美 兩 大國 博弈 中 被動 嘅 籌碼 並冇 任何 主導權 美國 幾時 通過 民主 及 人權 法案 中國 幾時 派 解放軍 從來 都 唔係 香港人 決定 當初 二 百萬人 遊行 舉 美國旗 唱美 國歌 只係 俾 美國 一張 入場券 參與 呢場 博弈 令 香港 不至於 單方面 被 中國 吞併 維持 原本 嘅 相對 中立 態 暫時繼續 擔當 中西 世界 橋樑 即係 吊命 再 遊行 集會 舉 美國旗 唱 美國 國歌 對 大局 唔會 再 有咩 大 影響 反而 只係 預約 被捕 白白犧牲 出去 行 嘅手 足 圍爐取暖 打氣 唔該 唱 吓 歌 行吓 就算 香港人 應該 專注 嘅 係 經濟戰 勇武 繼續 快閃 裝修 和理 繼續 罷買 藍店 懲罰 黃店 中資 銀行 撤資 和 你 一蚊 交稅 集中 籌辦 宣傳 大 罷工 每 兩 周一 次 每周 一次 令 罷工 成爲 一種 習慣 上面 講到 國際 援助 短期 内 唔會 有 太大 影響 所以 不斷 俾 啲 其實 唔會點 影響 佢 啲 決定 議程 嘅 優先 次序 始終 所有人 都係 已 自己 利益 行頭 一係 你 就 呼籲 國際 社會 罷買 但 真心 有 幾 多個 外國人 會 走去 個 到 睇 哂 咁 多條 到 睇啲 對 自己 冇 太大 影響 嘅 野 倒不如 集中 幾個 多 嘅 做 資訊 發佈 其他人 去 多啲 大人物 新聞 機構 嘅 下面 多啲 而 唔係 宜家 嘅 圍爐 轉 互 取暖 我地 係咪 只可 以 守株待兔 等 國際 援助 呢 放下 成見 認真 考慮 國内 戰綫 輸出 革命 品蔥 網民 建議 讓 飯圈 女孩 幫忙 攬炒 全面 升級 真 三 罷 暗戰 滲透 狗仔隊 突發 五毛 藍屍 大 整合 每日 中環 和 你 翻工 與 放飯 幫人 罷工 讀 好啲 書 唔好 人地 藍絲 問你 口窒窒 淨係 識得 講 良知 盲反 盲撐 最後 屌你老母 不分 不割 不 篤 唔撚 代表 不容置疑 不容 批評 唔好 每次 人地 提出 問題 你 就 走去 話人 分化 撚 五毛 得 拉 見到 好撚煩 真係 會令 人 心灰 唔想 再 參與 討論 自己 睇吓 點解 愈嚟 愈 少有 用 我想 你哋 反思 吓 你哋 口中 嘅 不分 不割 不 篤 點解 從來 只係 包括 泛民 而 所謂 熱 青城 陳雲 癡 綫 佬 因爲 個人 恩怨 問題 而 全盤 否定 對方 嘅 意見 口講 不分 不割 不 篤 但 實際上 就 同 佢哋 割席 你哋 話 陳雲 熱狗 最叻 分化 但 其實 你哋 知唔知道 你哋 咁嘅 行爲 同 分化 根本 冇分別 不分 不割 不 篤 唔係 你 做 錯事 嘅 藉口 唔代表 所有人 都要 認同 你嘅 一切 行爲 有錯 唔改 聽完 就算 掉頭 屌人 分化 用兄弟 爬山 論 嚟 合理化 自己 嘅 所有 所作所爲 真係 屌你老母 仆街 仔 嚟"
